Fund Ticker,Security Identifier,Symbol,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,17275R102,CSCO ,"78,085,048","3,648,133,442.56",1.264,Cisco Systems Inc,Common Stock,Information Technology,06/20/2024
QQQ,882508104,TXN ,"17,534,769","3,380,002,072.44",1.171,Texas Instruments Inc,Common Stock,Information Technology,06/20/2024
QQQ,461202103,INTU ,"5,399,335","3,326,422,306.80",1.153,Intuit Inc,Common Stock,Information Technology,06/20/2024
QQQ,31162100,AMGN ,"10,334,956","3,202,699,514.84",1.11,Amgen Inc,Common Stock,Health Care,06/20/2024
QQQ,595112103,MU ,"21,288,101","3,069,531,283.19",1.064,Micron Technology Inc,Common Stock,Information Technology,06/20/2024
QQQ,46120E602,ISRG ,"6,794,448","2,938,938,482.40",1.019,Intuitive Surgical Inc,Common Stock,Health Care,06/20/2024
QQQ,20030N101,CMCSA ,"76,411,808","2,892,186,932.80",1.002,Comcast Corp,Common Stock,Communication Services,06/20/2024
QQQ,438516106,HON ,"12,576,666","2,693,167,257.24",0.933,Honeywell International Inc,Common Stock,Industrials,06/20/2024
QQQ,512807108,LRCX ,"2,528,445","2,683,463,962.95",0.93,Lam Research Corp,Common Stock,Information Technology,06/20/2024
QQQ,09857L108,BKNG ,"659,023","2,617,692,077.84",0.907,Booking Holdings Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,458140100,INTC ,"81,533,194","2,496,546,400.28",0.865,Intel Corp,Common Stock,Information Technology,06/20/2024
QQQ,92532F100,VRTX ,"4,981,320","2,348,094,621.60",0.814,Vertex Pharmaceuticals Inc,Common Stock,Health Care,06/20/2024
QQQ,32654105,ADI ,"9,562,985","2,194,800,687.35",0.761,Analog Devices Inc,Common Stock,Information Technology,06/20/2024
QQQ,75886F107,REGN ,"2,081,476","2,173,872,719.64",0.753,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,06/20/2024
QQQ,482480100,KLAC ,"2,607,760","2,163,371,618.40",0.75,KLA Corp,Common Stock,Information Technology,06/20/2024
QQQ,53015103,ADP ,"7,921,944","1,949,273,540.64",0.676,Automatic Data Processing Inc,Common Stock,Industrials,06/20/2024
QQQ,697435105,PANW ,"6,230,819","1,938,033,941.76",0.672,Palo Alto Networks Inc,Common Stock,Information Technology,06/20/2024
QQQ,722304102,PDD ,"12,880,619","1,856,612,422.66",0.643,PDD Holdings Inc ADR,American Depository Receipt,Consumer Discretionary,06/20/2024
QQQ,871607107,SNPS ,"2,941,677","1,794,952,471.86",0.622,Synopsys Inc,Common Stock,Information Technology,06/20/2024
QQQ,N07059210,ASML ,"1,665,666","1,750,181,892.84",0.607,ASML Holding NV,American Depository Receipt - NY,Information Technology,06/20/2024
QQQ,855244109,SBUX ,"21,833,436","1,740,561,517.92",0.603,Starbucks Corp,Common Stock,Consumer Discretionary,06/20/2024
QQQ,609207105,MDLZ ,"25,965,584","1,715,286,479.04",0.595,Mondelez International Inc,Common Stock,Consumer Staples,06/20/2024
QQQ,22788C105,CRWD ,"4,389,856","1,677,539,571.84",0.581,Crowdstrike Holdings Inc,Common Stock,Information Technology,06/20/2024
QQQ,127387108,CDNS ,"5,249,839","1,672,231,216.67",0.58,Cadence Design Systems Inc,Common Stock,Information Technology,06/20/2024
QQQ,375558103,GILD ,"24,023,943","1,645,399,856.07",0.57,Gilead Sciences Inc,Common Stock,Health Care,06/20/2024
QQQ,58733R102,MELI ,"977,499","1,549,365,239.97",0.537,MercadoLibre Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,172908105,CTAS ,"1,954,964","1,381,201,615.64",0.479,Cintas Corp,Common Stock,Industrials,06/20/2024
QQQ,571903202,MAR ,"5,582,512","1,362,021,277.76",0.472,Marriott International Inc/MD,Common Stock,Consumer Discretionary,06/20/2024
QQQ,21037T109,CEG ,"6,106,864","1,357,616,935.84",0.471,Constellation Energy Corp,Common Stock,Utilities,06/20/2024
