ID,Company Name,Exchange,Symbol,,,
143,"Air Products & Chemicals, Inc.",NYSE:,APD,,,
139,Williams Companies Inc.,NYSE:,WMB,,,
137,Arthur J. Gallagher & Co.,NYSE:,AJG,,,
138,Capital One Financial,NYSE:,COF,,,
140,Colgate-Palmolive Company,NYSE:,CL,,,
142,Emerson Electric Co.,NYSE:,EMR,,,
145,Illinois Tool Works Inc.,NYSE:,ITW,,,
146,General Dynamics Corporation,NYSE:,GD,,,
144,"O'reilly Automotive, Inc.",NASDAQ:,ORLY,,,
141,Regeneron Pharmaceuticals Inc,NASDAQ:,REGN,,,
149,Cvs Health Corporation,NYSE:,CVS,,,
147,"Becton, Dickinson and Co.",NYSE:,BDX,,,
148,Cintas Corp,NASDAQ:,CTAS,,,
150,Northrop Grumman Corp.,NYSE:,NOC,,,
152,"Oneok, Inc.",NYSE:,OKE,,,
151,Marriot International Class A,NASDAQ:,MAR,,,
159,Bank of New York Mellon Corporation,NYSE:,BK,,,
156,Fedex Corporation,NYSE:,FDX,,,
153,Truist Financial Corporation,NYSE:,TFC,,,
157,Target Corporation,NYSE:,TGT,,,
158,Schlumberger Limited,NYSE:,SLB,,,
155,Autodesk Inc,NASDAQ:,ADSK,,,
162,"Ecolab, Inc.",NYSE:,ECL,,,
164,"Kinder Morgan, Inc.",NYSE:,KMI,,,
161,"Fortinet, Inc.",NASDAQ:,FTNT,,,
160,Hilton Worldwide Holdings Inc.,NYSE:,HLT,,,
163,Royal Caribbean Group,NYSE:,RCL,,,
154,Csx Corporation,NASDAQ:,CSX,,,
165,"Airbnb, Inc. Class A",NASDAQ:,ABNB,,,
180,"Ameriprise Financial, Inc.",NYSE:,AMP,,,
167,Carrier Global Corporation,NYSE:,CARR,,,
178,Johnson Controls International Plc,NYSE:,JCI,,,
179,Sempra,NYSE:,SRE,,,
177,"The Travelers Companies, Inc.",NYSE:,TRV,,,
172,"Roper Technologies, Inc.",NASDAQ:,ROP,,,
173,"Digital Realty Trust, Inc.",NYSE:,DLR,,,
168,Paccar Inc,NASDAQ:,PCAR,,,
166,Vistra Corp.,NYSE:,VST,,,
174,Norfolk Southern Corp.,NYSE:,NSC,,,
171,General Motors Company,NYSE:,GM,,,
176,"Autozone, Inc.",NYSE:,AZO,,,
169,Freeport-Mcmoran Inc.,NYSE:,FCX,,,
170,"Hca Healthcare, Inc.",NYSE:,HCA,,,
175,Nxp Semiconductors N.v.,NASDAQ:,NXPI,,,
183,"Workday, Inc. Class A",NASDAQ:,WDAY,,,
191,"Quanta Services, Inc.",NYSE:,PWR,,,
184,"American Electric Power Company, Inc.",NASDAQ:,AEP,,,
181,"Simon Property Group, Inc.",NYSE:,SPG,,,
193,Ross Stores Inc,NASDAQ:,ROST,,,
182,Aflac Inc.,NYSE:,AFL,,,
194,"W.W. Grainger, Inc.",NYSE:,GWW,,,
190,Copart Inc,NASDAQ:,CPRT,,,
189,The Allstate Corporation,NYSE:,ALL,,,
192,Phillips 66,NYSE:,PSX,,,
187,"Metlife, Inc.",NYSE:,MET,,,
186,"United Rentals, Inc.",NYSE:,URI,,,
188,Cummins Inc.,NYSE:,CMI,,,
185,Howmet Aerospace Inc.,NYSE:,HWM,,,
195,Marathon Petroleum Corporation,NYSE:,MPC,,,
201,Paychex Inc,NASDAQ:,PAYX,,,
196,"Msci, Inc.",NYSE:,MSCI,,,
198,Newmont Corporation,NYSE:,NEM,,,
197,Realty Income Corporation,NYSE:,O,,,
203,Public Storage,NYSE:,PSA,,,
210,Fastenal Co,NASDAQ:,FAST,,,
200,Discover Financial Services,NYSE:,DFS,,,
204,"Dominion Energy, Inc.",NYSE:,D,,,
211,Republic Services Inc.,NYSE:,RSG,,,
206,Baker Hughes Company,NASDAQ:,BKR,,,
207,Valero Energy Corporation,NYSE:,VLO,,,
208,Public Service Enterprise Group Incorporated,NYSE:,PEG,,,
199,Targa Resources Corp.,NYSE:,TRGP,,,
202,"American International Group, Inc.",NYSE:,AIG,,,
209,Te Connectivity Plc,NYSE:,TEL,,,
205,Fair Isaac Corporation,NYSE:,FICO,,,
220,Lululemon Athletica Inc.,NASDAQ:,LULU,,,
237,"Xcel Energy, Inc.",NASDAQ:,XEL,,,
226,Edwards Lifesciences Corp,NYSE:,EW,,,
228,"Gartner, Inc.",NYSE:,IT,,,
215,Kimberly-Clark Corp.,NYSE:,KMB,,,
217,"Prudential Financial, Inc.",NYSE:,PRU,,,
235,Cognizant Technology Solutions,NASDAQ:,CTSH,,,
221,"Delta Air Lines, Inc.",NYSE:,DAL,,,
230,Crown Castle Inc.,NYSE:,CCI,,,
231,Exelon Corporation,NASDAQ:,EXC,,,
225,"Cbre Group, Inc.",NYSE:,CBRE,,,
